mass1_x,mass1_y,mass2_x,mass2_y
651.9053,1719.3048,407.56274,1036.3789
658.5479,1718.797,412.87244,1036.0139
665.1524,1718.1364,418.30548,1035.5742
671.87213,1717.3896,423.80502,1035.1008
678.65375,1716.5863,429.40817,1034.5735
685.53265,1715.7843,435.1496,1034.0322
692.47095,1714.8517,441.01215,1033.4133
699.53357,1713.963,446.97003,1032.787
706.59064,1712.9419,453.13782,1032.1467
713.7941,1711.9895,459.56403,1031.6403
721.07605,1711.0094,466.20706,1030.4493
728.34534,1709.8885,472.84518,1029.7987
735.65155,1708.7493,479.47675,1028.9406
742.99384,1707.5413,486.32257,1028.0144
750.4204,1706.35,493.2734,1027.0269
757.87976,1705.1484,500.38373,1025.9456
765.40485,1703.9177,507.65326,1024.8301
772.93604,1702.6285,515.05176,1023.635
780.5226,1701.343,522.5757,1022.3629
788.1628,1700.0039,530.2065,1021.0202
795.87976,1698.6595,537.948,1019.6388
803.61926,1697.3151,545.7259,1018.231
811.43945,1696.0367,553.6003,1016.79205
819.4429,1694.7191,561.5185,1015.31335
827.4744,1693.4834,569.52966,1013.7814
835.6028,1692.255,577.6342,1012.2854
843.9295,1691.1598,585.9366,1010.8453
852.3152,1690.091,594.33264,1009.4463
860.7877,1689.0459,602.9155,1008.1914
869.3854,1688.1343,611.69,1007.01624
878.03265,1687.3564,620.75385,1005.99347
886.76843,1686.6254,630.17664,1005.1047
895.59045,1685.972,639.90405,1004.2954
904.4666,1685.4631,649.9522,1003.5742
913.39777,1685.0638,660.37476,1002.93896
922.40845,1684.7673,671.06134,1002.3165
931.46466,1684.4948,682.07416,1001.6716
940.5434,1684.2817,693.3911,1001.06903
949.6365,1684.1141,704.867,1000.43494
958.7177,1683.948,716.59625,999.79596
967.78033,1683.827,728.5598,999.0956
976.89124,1683.7582,740.5665,998.4202
986.0347,1683.7957,752.50476,997.77264
995.2361,1683.973,764.3688,997.17566
1004.47003,1684.3048,776.1258,996.7141
1013.6827,1684.7218,787.7696,996.3636
1022.89404,1685.1619,799.3617,996.1356
1032.0616,1685.7579,810.8625,995.94946
1041.1896,1686.4541,822.24805,995.841
1050.3044,1687.1652,833.4004,995.78986
1059.4473,1687.966,844.1097,995.8185
1068.5765,1688.8982,854.2915,996.01526
1077.7606,1689.9855,864.01953,996.294
1087.0546,1691.2211,873.3009,996.76404
1096.4512,1692.4979,882.16974,997.3447
1106.0735,1693.8733,890.703,998.1428
1115.7505,1695.2385,899.07166,999.19666
